Inventory Date,Total Expired & SD Qty (Reported),Total Expired & SD Value (Reported),12M+ Qty (Reported),12M+ Value (Reported),Expired Qty,Expired Value,0–6M Qty,0–6M Value,6–9M Qty,6–9M Value,9–12M Qty,9–12M Value,12–15M Qty,12–15M Value,15–18M Qty,15–18M Value,18–24M Qty,18–24M Value,24–36M Qty,24–36M Value,Recall Qty,Expired After Recall Qty,Source
2026-03-31 16:51:02.140,779619,997384.9699999997,26319532,41711005.88999998,65049,100607.3899999995,263289,313819.5499999999,242051,233354.43,209230,349603.6000000003,361570,982167.4799999994,1527223,3357349.7600000007,6463668,3357349.7600000007,17967071,,,,V9 historical report
2026-06-15 10:27:24.640,643494,1543897.7900000003,24030851,42359023.56000005,13055,13785.269999999999,266354,264212.79,134330,178002.16999999993,229755,601886.8299999991,398857,1036144.7300000002,2538275,4421904.759999998,4490316,6706609.659999999,16603403,,,,V9 historical report
2026-06-24 08:56:58.380,703442,1455205.5700000003,23159941,40284447.8400001,68446,105017.89999999963,269497,271082.89999999997,136163,195344.75999999995,229336,583071.6499999992,335246,849768.7700000007,2314539,4116936.4000000027,4242663,6035803.699999999,16267493,,,,V9 historical report
2026-06-29 11:49:57.020,597923,1231195.5000000005,22640278,39347184.73000008,68494,105054.61999999962,164292,162155.17999999993,172460,273976.2400000001,192677,503762.9899999999,314079,771308.7000000009,2222248,4081025.780000004,4137396,5871735.619999998,15966555,,,,V9 historical report
2026-06-30 13:51:33.970,510297,1175235.52,22467835,39028398.649999976,68494,105054.62000000004,76666,100264.33999999992,172508,274102.00000000006,192629,503637.22999999986,325036,777287.5600000002,2167354,3971555.1800000016,4094216,5864323.260000003,15881229,,,,V9 historical report
2026-07-02 09:11:09.590,510152,1174521.9600000004,23403596,40758479.51000008,69215,106097.8399999996,76438,99660.71999999997,179718,308337.2400000001,184781,467744.8699999998,335618,783982.400000001,2092695,3904994.320000003,4567314,7238718.32,16407969,,,,V9 historical report
2026-07-08 13:13:04.080,508486,1127740.5000000005,23073924,39632860.62000005,68698,104044.0799999996,76858,102668.62999999996,195037,351619.58000000025,167893,419728.5799999999,320886,753134.790000001,2122012,3802942.2800000007,4569611,7066384.289999997,16061415,,25188.0,43510.0,V9 historical report
2026-07-20 12:50:27.130,512411,1332362.6800000004,22551477,37649512.33000002,68655,104193.5599999996,87175,134318.97999999998,185722,325948.0800000002,170859,408636.2999999999,352390,922991.1400000008,1975730,3511547.870000002,4980206,7170550.830000002,15243151,,25188.0,43467.0,V9 historical report
2026-07-23 12:06:32.430,525968,1284424.6099999996,23017735,38837580.93000007,68559,104092.03999999953,90438,138668.87000000002,179702,309641.0399999999,187269,433732.7399999998,314398,854394.7000000001,1884740,3403438.5800000024,5422025,7729678.360000001,15396572,,25188.0,43371.0,V9 historical report
2026-07-27 10:14:27.040,530079,1261843.2999999998,22839893,38705465.00000006,68708,104229.25999999953,90289,138531.65000000002,179798,309754.31999999995,191284,446370.88999999984,301816,827798.3900000001,1808704,3266144.5700000036,5394252,7697550.320000004,15335121,27741770.110000055,25188.0,43520.0,V9 historical report
2026-08-01 00:00:00.000,558999,1398423.7600000007,22217998,38310242.99999998,70552,109479.28999999946,95393,147792.25999999995,174758,298694.87999999995,243484,582563.69,381703,897668.2100000012,1537627,2912724.05,5292042,7624621.940000001,15006626,27772897.009999976,25188.0,45364.0,V9 historical report
2026-08-05 11:08:05.490,559869,1406372.4100000006,21832218,37598606.68000001,55163,81867.74999999946,94625,145634.76999999996,198590,349425.6000000001,234676,564459.1699999998,417679,944193.8900000012,1452655,2761017.6500000027,5135630,7405380.059999998,14826254,27432208.970000006,23185.0,31978.0,V9 historical report
2026-08-07 10:24:11.540,575200,1344958.3800000004,22264178,38070521.81999999,47622,70714.51999999955,94601,145575.48999999996,213398,380061.8400000001,241036,568660.3699999999,389803,887632.3700000008,1398591,2692354.7300000023,5633606,8041054.759999999,14842178,27337112.329999987,21457.0,26165.0,V9 historical report
2026-08-10 09:57:38.750,466692,1348915.8800000004,22102928,37712753.93999997,47634,70725.55999999955,35465,98123.77000000002,152690,320313.00000000006,252360,595226.9699999999,403962,927706.5500000009,1494508,2738859.7100000014,5747372,7989545.420000002,14457086,26984348.809999965,21457.0,26177.0,V9 historical report
2026-08-11 08:36:39.150,398868,1246818.080000001,21840960,37274598.66999999,47634,70725.56,7517,14002.929999999998,118670,250251.1199999999,246504,581654.7300000001,408654,915585.5900000011,1406749,2610182.3000000007,5684505,7928673.6000000015,14341052,26735742.769999985,21457.0,26177.0,V9 historical report
2026-08-14 23:46:19.620,395507,1104012.250000001,21037063,35798866.29999996,47610,71257.18999999955,7684,14195.31,120998,282068.40000000014,240672,542362.17,388851,777887.7500000014,1278014,2442239.660000002,5611211,7748318.869999999,13758987,25608307.76999996,21457.0,26153.0,V9 historical report
2026-08-18 00:43:48.840,392986,1078250.560000001,20948155,35633466.57999996,47149,69982.89999999948,6527,11884.909999999998,120600,281187.74000000005,240167,544602.8100000003,377571,756215.7500000016,1266055,2417952.0500000007,5625947,7753356.399999999,13678582,25462158.12999996,21457.0,25692.0,V9 historical report
2026-08-20 12:34:14.070,393395,1050416.9000000006,21235717,36129346.72999996,47149,69982.89999999948,6527,11884.909999999998,134724,323250.5000000001,226452,502935.02999999997,369266,742097.0900000011,1248765,2389329.8300000015,5827322,7877698.000000003,13790364,25862318.899999958,21457.0,25692.0,V9 historical report
2026-08-24 09:35:14.350,391267,987429.6300000004,21066988,36190038.82999998,47149,69982.89999999948,6575,11934.589999999998,176629,410577.9900000001,182371,408876.37999999995,351781,723141.1400000008,1213248,2286181.6600000015,5946525,8237959.480000003,13555434,25665897.68999998,21457.0,25692.0,V9 historical report
